title,description,speakers,Session length,topics,room,time_start,duration,time_end
"Exabyte-scale Streaming Iceberg IO with Beam, Ray, and DeltaCAT","Production case study highlighting how Amazon uses Ray and DeltaCAT at exabyte-scale to resolve longstanding performance & scale challenges integrating streaming pipelines with Apache Iceberg. Highlights how the Apache Beam, Ray, Apache Flink, and Apache Spark communities can start bringing the same benefits to their workloads using the DeltaCAT project's IO source/sink implementations for Apache Beam.",Patrick Ames,25 minutes,"Connecting disparate systems with modern data architectures, Scalability & Performance, Ecosystem & Community, Emerging trends",Horizon Hall,2025-07-08 09:45:00,30,2025-07-08 10:15:00
Scaling Real-Time Feature Generation Platform @Lyft," At Lyft, real-time feature generation is crucial for powering many business critical use-cases. This session describes how we leveraged Apache Beam to build a robust and scalable real-time feature generation platform for this purpose, capable of generating 100s of millions of features per minute. We will delve into the critical factors that engineering teams should consider when designing a real-time feature generation platform, such as:
Data consistency and accuracy, with a focus on ownership and quality guarantees.
Latency requirements 
Performance optimization to ensure efficient feature serving.
Feature serving and downstream model execution pipelines.
Data lineage tools for improved traceability.
Strategies for designing for performance and minimizing infrastructure costs.
The presentation will discuss engineering challenges encountered while scaling the Beam pipeline to support our requirements and the lessons we learned along the way.
",Rakesh Kumar,25 minutes,"Real-time data applications, Unified Data Processing",Horizon Hall,2025-07-08 10:45:00,25,2025-07-08 11:10:00
A Tour of Apache Beam’s New Iceberg Connector,"Join us for a comprehensive overview of Apache Beam’s Iceberg connector. This session will cover its current features and support across multiple SDKs (Java, Python, YAML, SQL). We’ll delve into key design decisions and share what’s coming next. We'll also demonstrate how to use the connector in batch, streaming, and multi-language scenarios to build robust and scalable pipelines for your data lakehouse.",Ahmed Abualsaud,25 minutes,Connecting disparate systems with modern data architectures,Palisades,2025-07-08 10:45:00,25,2025-07-08 11:10:00
Integration of Batch and Streaming data processing with Apache Beam,"Mercari utilizes Apache Beam for batch and streaming processing for various purposes, such as transferring data to CRM and providing incentives to users.
To avoid having to develop similar data pipelines in different departments within the company, Mercari Pipeline has been developed and released as OSS as a tool that allows users to build pipelines by simply defining the processing via JSON or YAML.
(https://github.com/mercari/pipeline)

In this session, we will introduce an example of utilizing the features of Apache Beam, which allows Batch and Streaming processes to share the same code, to divert time-series aggregate values generated and verified by Batch to Streaming processes.

* Integration of multiple data sources
* Aggregate computation with window function using State API
* Aggregate computation with window function utilizing external data store (Bigtable) and CDC
* Inference with ONNX model
* Configuration management by Batch and Streaming difference",Yoichi Nagai,25 minutes,"Real-time data applications, Unified Data Processing",Palisades,2025-07-08 11:15:00,25,2025-07-08 11:40:00
Managed transforms - power of Beam without maintenance overheads,"Apache Beam offers a number of powerful transforms including a set of highly scalable I/O connectors. Usually, you have to regularly keep upgrading Beam to get critical fixes related to such transforms. With the recent addition of Java and Python managed APIs, Beam allows runners to fully manage supported transforms. Google Cloud Dataflow uses this API to manage and automatically upgrade widely used Beam I/O connectors. This allows you to focus on the business logic of your batch and streaming pipelines without worrying about associated maintenance overheads.",Chamikara Jayalath,25 minutes,"Real-time data applications, Scalability & Performance, Unified Data Processing",Palisades,2025-07-08 11:45:00,25,2025-07-08 12:10:00
From taming energy market data to hyperparameter hunting at scale: leveraging Apache Beam & BigQuery,"This session explores how Apache Beam handles the end-to-end workflow for Italian energy market analytics, including forecasting electricity demand, natural gas demand, and renewable generation.

We'll demonstrate its power as a robust ETL tool for parsing and processing diverse data sources, using Google BigQuery as the central data warehouse. These sources range from millions of XML files detailing point-of-delivery (POD) electricity demand to ECMWF-generated GRIB meteorological files, among others.

Building on this foundation, the session covers Beam's role in scalable machine learning, detailing its use for distributed Bayesian hyperparameter searches over thousands of models, efficient retraining with optimized parameters over newly-parsed data, and large-scale distributed inference.","Nicholas Bonfanti, Matteo Pacciani",25 minutes,"Scalability & Performance, Unified Data Processing",Horizon Hall,2025-07-08 11:45:00,25,2025-07-08 12:10:00
Remote LLM Inference with Apache Beam: Practical Guide with Gemini and Gemma on Vertex AI,"Large Language Models offer powerful capabilities for data transformation, but reliably integrating them at scale into Apache Beam data pipelines presents challenges. Deploying powerful, large models (e.g., Gemma 27B, Llama 70B, DeepSeek R1) directly onto Beam workers via the RunInference API is often infeasible due to resource constraints, multi-GPU complexity, cost, and lack of serving optimizations. Furthermore, many frontier models like Gemini are only available via APIs. Therefore, this session focuses on effective Remote LLM inference integration with Apache Beam.

This practical session guides you through implementing LLM pipelines using Python and Apache Beam's RequestResponseIO feature. It will demonstrate building robust callers for remote endpoints, using the native Gemini API and Vertex AI Prediction API (hosting Gemma) as concrete examples. Learn essential performance tuning techniques crucial for managing latency, throughput, and reliability in these I/O-bound pipelines. Finally, discover compelling use cases and examples for building intelligent, scalable data processing solutions with Gemini and Gemma models.",Taka Shinagawa,25 minutes,Emerging trends,Palisades,2025-07-08 12:45:00,25,2025-07-08 13:10:00
Scalable Drug Discovery with Apache Beam: From R-Groups to Crystal Structures,"In this talk, we'll share how we use Apache Beam at Schrodinger to power key stages of the drug discovery pipeline, from R-group enumeration in lead optimization to crystal structure determination in drug formulation. Rather than relying on existing runners, we built our own execution engine on top of Beam’s powerful abstraction layer to better serve our domain-specific needs.",Joey Tran,25 minutes,,Horizon Hall,2025-07-08 14:00:00,25,2025-07-08 14:25:00
Leveraging Apache Beam for Enhanced Financial Insights,"Credit Karma leverages Apache Beam to address a broad spectrum of data processing requirements, particularly real-time data transformation to bolster machine learning models. Key applications include:
1. preprocessing data and constructing graphs for live model scoring,
2. large-scale ETL (Extract, Transform, Load) operations for analytics, and
3. real-time aggregation of features to furnish near-instantaneous insights to models
we would be talking above one usecase from each pillar","Raj Katakam, Naresh Kumar Kotha, Venkatesh Poosarla",50 minutes,Real-time data applications,Palisades,2025-07-08 14:00:00,55,2025-07-08 14:55:00
Bridging BigQuery and ClickHouse with Apache Beam: A Google Dataflow Template for Batch Ingestion,his,Bentsi Leviav,25 minutes,"Real-time data applications, Ecosystem & Community, Scalability & Performance",Palisades,2025-07-08 15:00:00,25,2025-07-08 15:25:00
