title,description,speakers,Session length,topics,room,time_start,duration,time_end
The Apache Lakehouse Ecosystem and Apache Beam's Role in It,"The modern data landscape has converged on the lakehouse architecture — a paradigm that unifies the scalability of data lakes with the governance and performance of traditional data warehouses. Open table formats such as Apache Iceberg, Apache Hudi, and Delta Lake now serve as the foundation for this ecosystem, enabling ACID transactions, schema evolution, and time-travel queries directly on cloud object storage.

Yet as organizations adopt these formats at scale, a critical question emerges: how do data teams move data into and across these tables in a portable, reliable, and runtime-agnostic way?
This talk explores where Apache Beam fits into the lakehouse picture. We will examine how Beam's unified programming model and runner abstraction make it a natural choice for lakehouse ingestion and transformation pipelines — whether targeting Apache Iceberg via the managed I/O connector, streaming CDC events into Hudi, or orchestrating multi-table workflows across batch and streaming workloads in a single pipeline.
Attendees will come away with a clear mental model of the lakehouse ecosystem's key components, an understanding of the trade-offs between format choices, and practical insight into how Apache Beam's portability layer complements — rather than competes with — engines like Apache Flink and Apache Spark in a modern data platform.",JB Onofré,"Long Talk (50 min), Short Talk (25 min)",Ecosystem and Community with Modern Data Tools,Pitch Pine,2026-06-22 11:00:00,30,2026-06-22 11:30:00
Agentic Workflows in Beam: The Opportunity Ahead of Us,"Use of LLMs and agents is steadily growing in prominence and importance across the data processing ecosystem and more broadly across all of software. Today, though, many agentic prototypes fail to reach production for familiar reasons, including: overly complex resource management, the inability to colocate the correct context, high deployment costs, and a lack of guardrails for non-deterministic agents. Agentic workflows can solve some of these problems by providing boundaries for an agent to operate within, but there is a lack of scalable tools to do this well.

This talk will discuss why streaming data processing systems are broadly well positioned to safely scale and deploy agentic workflows, and why Beam is a particularly good fit. It will then spend some time talking about the gaps in Beam (and other systems), and how moderate targeted investments can close those gaps.

Attendees can expect to come away with a high level understanding of agentic workflows, the current state of agentic workflows in Beam, and the path forward to take Beam's agentic support from solid to excellent.",Danny McCormick,Short Talk (25 min),Agentic Architectures,Pitch Pine,2026-06-22 11:45:00,30,2026-06-22 12:15:00
Building Agentic Data Pipelines: Orchestrating AI Workflows with Apache Beam,"AI agents need more than model inference. They need reliable data orchestration. This session explores how Apache Beam enables agentic architectures that reason over streaming and batch data, execute multi-step workflows, and 
integrate ML models for real-time decision-making.

We'll cover practical patterns for building agent-driven pipelines:

Agentic Orchestration with Beam: Structuring pipelines where agents decompose tasks, call external tools, and coordinate across data sources. How Beam's unified model simplifies building workflows that span Kafka streams, batch
repositories, and ML inference endpoints.

Real-time ML Integration: Embedding models directly in Beam pipelines for low-latency inference. Patterns for fraud detection, anomaly detection, and personalized recommendations where agents act on streaming insights.

State and Error Handling: Managing agent state across pipeline stages, checkpoint strategies for long-running agentic workflows, and graceful recovery when tools or models fail.

Connecting Disparate Systems: Integrating Beam with Kafka, Iceberg, and cloud APIs to give agents access to the data they need without rebuilding your infrastructure.

Attendees will leave with:
- Patterns for orchestrating agentic workflows in Beam pipelines
- Strategies for embedding ML inference in streaming architectures
- A framework for state management and error recovery in agent-driven systems

Built for data engineers ready to move from static pipelines to autonomous, ML-powered data workflows.",Siddharth Gargava,Short Talk (25 min),"Agentic Architectures, Emerging Trends (AI/ML and Lakehouse Architectures)",Pitch Pine,2026-06-22 12:15:00,30,2026-06-22 12:45:00
The Present and Future of Beam Python Performance,"A brief dive into improving Beam Python performance, looking at both currently available best practices as well as looking forward to free threaded Python runtimes. ",Jack McCluskey,Short Talk (25 min),Ecosystem and Community with Modern Data Tools,Hackberry,2026-06-22 12:15:00,30,2026-06-22 12:45:00
Using Python Memory Profilers with Apache Beam,In this talk we will cover techniques for profiling memory usage in Apache Beam Python pipelines.,Valentyn Tymofieiev,Short Talk (25 min),,Hackberry,2026-06-22 12:45:00,30,2026-06-22 13:15:00
RAG-as-a-Service: Reusable AI Data Pipelines with Apache Beam,"In this session, we'll explore how data engineering teams at Wells Fargo have built a RAG-as-a-Service platform that supports multiple AI applications across the enterprise. Using a real-world architecture, we'll walk through the end-to-end pipeline: using Apache Beam to ingest PDFs and other documents submitted to a REST endpoint, preparing those documents for embedding, storing vectors in scalable vector databases, and orchestrating workflows using modern data platforms.
Apache Beam handles the heavy lifting of the ingestion layer. Because different enterprise teams submit documents in very different ways, some in large overnight bulk loads and others one file at a time through the API, we needed something that could handle both without maintaining two separate codebases. Beam's RunInference transform also lets us run embedding generation inside the pipeline itself rather than bolting on a separate service.
We'll also discuss how to operationalize these pipelines using MLOps and AIOps practices, including versioning embeddings, monitoring retrieval quality, and managing prompt pipelines in production. We'll also discuss how to operationalize these pipelines using MLOps and AIOps practices, including versioning embeddings, monitoring retrieval quality, and managing prompt pipelines in production. We'll also show how we integrated Google ADK to build agents that consume these embeddings, allowing enterprise teams to wire up LLMs to their document collections without having to understand what is happening underneath.
Attendees will leave with a practical blueprint for building reusable document ingestion infrastructure that powers AI applications from copilots to intelligent search, while remaining scalable, governed, and production-ready.",Vineel Arekapudi,Short Talk (25 min),"Unified Data Processing with ML Integration, Agentic Architectures",Pitch Pine,2026-06-22 12:45:00,30,2026-06-22 13:15:00
Beyond the Black Box: How Intuit Credit Karma Runs ML Explainability for 140M Members with Beam,"Everyone talks about explainable AI. Almost no one runs it at scale in production.

The dirty secret of ML explainability is that it's easy in a notebook and brutally hard in the real world. Feature attribution libraries are compute-intensive and don't parallelize out of the box. Models retrain and refresh continuously, making it impossible to guarantee that an explanation matches the model that actually made the prediction. Raw feature attributions are cryptic to everyone except the data scientist who built the model — but business stakeholders and end users all need to understand them in terms meaningful to them. And at the scale of billions of predictions a day across 140 million members, none of the off-the-shelf approaches hold up.

At Intuit Credit Karma, we built and operate a production ML explainability platform on Apache Beam and Dataflow — and we'll show you exactly how. Beam's unified programming model gave us the horizontal scalability to run attribution computation across massive prediction volumes without blowing up cost or latency. Its flexible I/O and pipeline composition patterns let us stitch together a three-stage architecture: feature log preparation, distributed attribution generation grouped by model version, and downstream delivery with correctness guardrails — all orchestrated on a daily cadence.

We'll walk through the real engineering decisions: how we used Apache Beam pipelines to group predictions by model version and load the corresponding model dynamically — ensuring explanations always reflect the exact model that made each prediction even as models refresh continuously in production; how we aggregated feature-level attributions into human-readable reason codes configurable for any audience; and how we designed the pipeline to be privacy-preserving by construction, with no sensitive data leaking through intermediate stages.

We'll also be honest about where Beam shines for this use case and where the rough edges are — including version compatibility with ML attribution libraries, managing model artifacts in distributed workers, and cost tradeoffs vs. managed explainability services.

Whether you're building explainability infrastructure, running large-scale batch ML pipelines, or just trying to understand what Apache Beam can do beyond ETL — this talk will show you what production explainability looks like when you build it the right way, at real scale.","Raj Katakam, Pallav Anand",Short Talk (25 min),"Scalability and Performance with Optimized Storage, Unified Data Processing with ML Integration, Ecosystem and Community with Modern Data Tools",Pitch Pine,2026-06-22 14:00:00,30,2026-06-22 14:30:00
Role of Apache Beam in Agentic AI Era,"As we move from LLM chatbots to Autonomous AI Agents in 2026, the primary bottleneck isn't model intelligence, it’s contextual latency. For an agent to act reliably on behalf of a user, it needs a living memory of both historical records and real-time events.

This session explores how Apache Beam is becoming the definitive context layer for the Agentic AI stack. While traditional RAG often relies on vector databases, Beam enables a new paradigm of streaming RAG and stateful orchestration",Ashwin Sampathkumar,Short Talk (25 min),Agentic Architectures,Hackberry,2026-06-22 14:00:00,30,2026-06-22 14:30:00
Real-Time AI Pipelines at Scale: Embedding LLMs into Apache Beam for Live Inference,"As AI moves from experimentation to production, the hardest challenge isn't building a model. It's getting it to run reliably on live data at scale. In this talk, I'll walk through how I architected production-grade pipelines that embed LLMs and RAG systems directly into Apache Beam, enabling real-time inference on high-velocity data streams.

We'll cover:
How to integrate HuggingFace and vLLM models into Beam transforms for low-latency inference
Designing a RAG pipeline inside Beam using vector databases (Pinecone, FAISS) for semantic search on streaming data
Handling the cost and throughput challenges of running LLMs in a pipeline (quantization, batching, GPU optimization)
Deploying the full stack on AWS Bedrock + SageMaker with Kubernetes orchestration
Real benchmark results: how we cut inference costs by 50% while improving reasoning accuracy by 35%

This isn't a toy demo. It's a battle-tested architecture handling 10M+ daily events with 99.9% uptime. Attendees will leave with concrete patterns they can apply to fraud detection, anomaly detection, semantic search, and personalized recommendation systems.",Samir Sengupta,Long Talk (50 min),"Agentic Architectures, Unified Data Processing with ML Integration, Real-time ML-Driven Data Insights",Hackberry,2026-06-22 14:30:00,50,2026-06-22 15:20:00
"The Autopilot Never Complained: Replay, Reason, Refly with Apache Beam","A fully autonomous VTOL logistics fleet has been flying mathematically optimized delivery corridors for 14 months. Every flight clears health checks. Every autopilot recovery is clean. No alerts fire. No reports are filed. On paper the operation is running perfectly.

A single Apache Beam pipeline replaying 1,200 archived flight logs tells a different story. Attitude recovery events — small, clean, individually insignificant — cluster at one specific waypoint, one altitude band, one azimuth range. The autopilot has been silently fighting a terrain-induced atmospheric rotor on every affected flight. It always won. It never complained. But the cumulative cost is real — excess battery draw, elevated motor wear, compounding flight time losses that no dashboard ever surfaced.

This talk shows how Beam's unified model runs the same pipeline against 14 months of archived logs in batch and against the live telemetry stream in real time — no rewrite, no reconciliation, one codebase. We build it live, extend it layer by layer from raw telemetry through operator commands to LLM-generated cost analysis and route recommendations. The route gets adjusted. The inefficiency disappears.

The question Beam lets you ask for the first time: what has your fleet been quietly compensating for that your dashboards never showed you?

","Charles Adetiloye, Ian MacDonald",Short Talk (25 min),"Agentic Architectures, Unified Data Processing with ML Integration, Real-time ML-Driven Data Insights, Scalability and Performance with Optimized Storage, Emerging Trends (AI/ML and Lakehouse Architectures)",Pitch Pine,2026-06-22 14:30:00,30,2026-06-22 15:00:00
