FirstName,LastName,title,designation,bio,twitter,linkedin
Mark,Chin,Mark Chin,"Software Engineer, Shield Team at Box","I’m an engineer on the Shield Team at Box, where I focus on building scalable, near real-time data engineering solutions to support advanced security and threat detection systems.  Before joining Box, I spent three years at Bank of America, developing batch processing systems for cross-valuation adjustment risk models.  My earlier experience includes consulting and research in the cryptocurrency space, as well as data engineering roles at a hedge fund.  I hold a Bachelor’s degree in Computer Science from Rensselaer Polytechnic Institute. Outside of work, I enjoy playing racket sports, staying active, and diving into science fiction across books, film, and games.",,https://www.linkedin.com/in/mark-c-02a429151/
Taka,Shinagawa,Taka Shinagawa,GenAI FSA @ Google,"Based in the San Francisco Bay Area, Taka serves as a Field Solution Architect at Google Cloud, specializing in Generative AI. Leveraging over 15 years of experience in AI/ML, Big Data, and Analytics through roles as both a software engineer and solution architect, he helps organizations implement cutting-edge solutions. His technical foundation is further strengthened by previous experience in OS kernel and network security software development.",,
Radek,Stankiewicz,Radek Stankiewicz,"Google, SWE","Radek joined Google in September 2018 as the Data Strategic Cloud Engineer in Professional Services Organization at Google Cloud. Currently working as SWE at Google Cloud. Prior to Google, Radek spent 10+ years working with startups, enterprises, pharma, fintech and the public sector helping with data analytics, hadoop based development and integration. ",,https://www.linkedin.com/in/stankiewicz/
Rishabh,Misra,Rishabh Misra,Lead ML Engineer • 'Sculpting Data for ML' Book Author,"Author of the book ""Sculpting Data for ML"", I am a Lead ML Engineer & Researcher recognized by the US Government for outstanding contribution to ML research. I have extensively published and reviewed research at top AI conferences in NLP (LLMs / GenAI), Deep Learning, and Applied ML domains, such as ICML, KDD, ACL, TheWebConf, and RecSys, amassing over 800 citations. I specialize in designing low-latency, large-scale Deep Learning models and my work has received wide media coverage, notably by TechCrunch, Times of India, The Sun, Hindustan Times, Gizmodo, NBC, and Slash Film. My research work is also being used in Deeplearning.ai's ""Natural Language Processing in TensorFlow"" course, used as training material for Google's TensorFlow professional certification program, and used in an NSF-funded project, Narrative Modeling with StoryQ, to teach the concept of text classification models to high school students. The Data Science community has utilized my research artifacts hundreds of thousands of times to learn and apply ML concepts on leading platforms like Kaggle. Professionally, I am an ML Tech Lead of a foundational team driving 0 to 1 AI‑powered personalization efforts for Conversational Commerce (marketing relevant products through text/email) at a late-stage startup and have previously led AI-powered user personalization at Twitter and Amazon. You can visit him online at rishabhmisra.github.io.",http://twitter.com/rishabh_misra_,https://www.linkedin.com/in/misrarishabh
Matteo,Pacciani,Matteo Pacciani,Data Scientist and Software Engineer,"I studied Computer Engineering in Milan, Italy and have been working at HelioSwitch for almost three years. My main interests revolve around data science, software engineering, and developing scalable solutions for complex problems. At HelioSwitch, I leverage my technical background and passion for innovation to deliver impactful projects, collaborating closely with teams and clients.",,
Bentsi,Leviav,Bentsi Leviav,Senior Software Engineer at ClickHouse Inc.,"(Not to sing my own praises, I gave chatGPT the liberty to write about me :) )

Bentsi is a Senior Software Engineer at ClickHouse Inc., bringing close to a decade of experience in data engineering. At ClickHouse, Bentsi focuses on advancing the integrations ecosystem, working with modern data frameworks including Apache Beam, Apache Spark, Apache Kafka, dbt, and more. He holds a B.Sc. in Computer Science and an MBA from a joint program between Tel Aviv University and NYU, graduating cum laude. His work bridges cutting-edge data infrastructure with real-world use cases, helping developers and organizations get the most from their data. ",,https://www.linkedin.com/in/bentsi-leviav/
Tomi,Ajakaiye,Tomi Ajakaiye,"Lead Partner, BluePod Consulting Inc ","Tomi Ajakaiye is an AI and data engineering consultant with over 7 years of experience building large-scale, enterprise-grade business applications. She specializes in designing and deploying scalable solutions powered by large language models (LLMs) across healthcare, finance, and government sectors. As the Lead Partner at BluePod Consulting Inc., an AI consulting and data analytics firm based in Ontario, Canada, Tomi leads cross-functional teams in delivering innovative, secure, and compliant AI systems that drive operational efficiency and digital transformation.",,
Nicholas,Bonfanti,Nicholas Bonfanti,"HelioSwitch, Co-founder","After graduating in Aeronautical Engineering in 2017, Nicholas began working on energy market forecasting algorithms. In 2019, he co-founded HelioSwitch with experts in the field. Their aim was to leverage the team's deep knowledge of energy markets and forecasting techniques to provide Italian utilities with high-value data management and forecasting services. Within HelioSwitch, Nicholas is responsible for designing and developing both the forecasting models and the underlying technical infrastructure.",,https://www.linkedin.com/in/nicholas-bonfanti/
Claude,van der Merwe,Claude van der Merwe,"Google, Software Engineer","Claude is a software engineer at Google, currently contributing to the Apache Beam Python SDK.",,https://www.linkedin.com/in/claude-van-der-merwe-423742158
Yoichi,Nagai,Yoichi Nagai,"Data Engineer @Mercari,Inc.","Yoichi is a member of the Merpay Solutions team. As a data engineer, he provides solutions to solve technical issues in the company and conducts internal training and technical consulting.
In previous companies he has worked for, he also built corporate search and data analysis infrastructures and promoted data analysis projects for customers.",https://x.com/orfeon,https://www.linkedin.com/in/orfeon/
