first,last,title,designation,bio,twitter,linkedin
Danny,McCormick,Danny McCormick,Software Engineer @ Google,"Danny McCormick is a software engineer at Google. He lives in Durham, NC and is currently focused on contributing to the Apache Beam Go Sdk.",,https://www.linkedin.com/in/danny-mccormick-a044b1103/
Vinay,Chander,Vinay Chander,"LinkedIn, Staff Software Engineer","With over 12 years of professional experience, Vinay is currently a Staff Software Engineer at LinkedIn, where he combines his tech leadership with a mission to innovate in commerce technology. His expertise lies in developing robust subscription and billing systems. He is deeply committed to LinkedIn's mission, bringing a unique perspective that advances LinkedIn's organizational goals and culture.

In his current role, he has been one of the tech-lead for LinkedIn's new commerce stack, focusing on features such as usage-based billing and subscription flexibility.",,
John,Casey,John Casey,"Software Engineer at Google, Apache Beam Committer","John is a Software Engineer at Google, and an Apache Beam Committer. He focuses primarily on IOs, especially Kafka IO.",,
Sadeeq,Akintola ,Sadeeq Akintola ,Data Analytics Specialist Engineer at Google Cloud,"Sadeeq is a Data Analytics Specialist at Google Cloud in the UK. His role involves understanding customers' Data Engineering and Analytics challenges and goals, while helping them through their Digital Transformation journeys as they leverage solutions primarily on Google Cloud Platform, as well as on-Prem or on other Clouds.

Whilst in Nigeria, Sadeeq worked as a Software Engineer at few Startups, but gradually transitioned into Data Engineering at FMDQ Group. He then moved to Portugal for an MSc. degree in Data Science and Advanced Analytics at NOVA University of Lisbon. 

He previously worked at KPMG and Microsoft, and his decade of industry experience include consulting with and for other notable Fortune 500 companies on data-centric projects.",https://twitter.com/SadeeqAkintola/,https://www.linkedin.com/in/sadeeqakintola/
Tom,Stepp,Tom Stepp,"Software Engineer, Google","I work on Dataflow Streaming at Google!

https://cloud.google.com/dataflow/docs/concepts/streaming-pipelines",,https://www.linkedin.com/in/tomstepp
Konstantin,Buschmeier,Konstantin Buschmeier,Senior Machine Learning Engineer at ML6,"Konstantin Buschmeier is a Senior Machine Learning Engineer at ML6. He is mainly specialized in the field of Natural Language Processing but also has extensive experience in designing end-to-end machine learning architectures in domains, such as Media. He has used Apache Beam in several large projects, where he leveraged the power and scalability of Beam to solve complex machine learning problems.",,https://www.linkedin.com/in/alexandru-b%C4%83lan-89695aa9/
Marc,Howard,Marc Howard,Staff Engineer at Google,"Marc's passion is for using Computer Science to positively impact the lives of others. He is the founding engineer for Project Shield, a free service whose mission is to protect vulnerable and important information from DDoS attacks, including freedom of speech and information, elections and the democratic process, human rights, and other causes.",,https://www.linkedin.com/in/aroarus/
Prakash,Chockalingam,Prakash Chockalingam,Product Lead at Google,"Prakash Chockalingam is a Product Lead at Google, where he is responsible for building the next gen ML Ops platform for Googlers. He leverages his expertise in ML Ops, cloud computing, and developer tools to enable faster and more reliable development, deployment, and monitoring of machine learning models. Prakash enjoys solving important problems, empowering others, and driving impact at scale.",,https://www.linkedin.com/in/prakashchockalingam/
Pablo,Rodriguez Defino,Pablo Rodriguez Defino,"Google, Data Consultant",WIP,,https://www.linkedin.com/in/prodriguezdefino
Wei,Hsia,Wei Hsia,Developer Advocate At Google Cloud,Wei has been lucky enough to work with some of the largest technology companies in the world addressing their data needs. He has a deep background and passion in data engineering.,,https://www.linkedin.com/in/weifonghsia/
Shunping,Huang,Shunping Huang,Googler,"Shunping is a software engineer working at Google since July 2021. He earned his Ph.D. in Computer Science from UNC Chapel Hill. Prior to joining Google, Shunping contributed his expertise to the development of Streaming Analytics products at SAS for eight years.",,
Ayush,Pandey,Ayush Pandey,"Masters in Data Science Grad Student at University of Colorado, Boulder",I'm a former Software engineer having more than 4 years of experience.,https://x.com/itsayushpandey,https://www.linkedin.com/in/itsayushpandey/
Pramod,Rao,Pramod Rao,Google Professional Services,Data Engineer within Google Professional Services,,https://www.linkedin.com/in/raopramod
Sergei,Lilichenko,Sergei Lilichenko,"Solutions Architect, Google Cloud",20+ years of technical leadership roles in startups and FinTech companies. Currently helping multiple customers implement Data Analytics solutions on Google Cloud.,,https://www.linkedin.com/in/sergei-lilichenko/
Jay,Jayakumar,Jay Jayakumar,Google Cloud Professional Services,Data Consultant within Google Professional Services,,
Bella,Le,Bella Le,Software Engineer @ LinkedIn,"Bella Le is a software engineer with 4 years of experience in the tech industry. She is currently working at LinkedIn on the Billing team, where she focuses on developing and maintaining billing technologies that facilitate regular invoicing and payment processing for customers. Bella holds a Bachelor's degree in Computer Science from UC San Diego.

Passionate about learning new technologies, Bella continually seeks to expand her skill set and stay updated with industry trends. In her spare time, she enjoys building custom keyboards, learning new (programming and world!) languages, and traveling to explore different cultures and experiences.",,https://www.linkedin.com/in/bella-le/
Damon,Douglas,Damon Douglas,"Google, Software Engineer",Damon began his Beam learning journey at a small Google Cloud partner.,,
Jeff,Kinard,Jeff Kinard,Software Engineer at Google,Jeff is a Software Engineer at Google. He focuses primarily on Beam YAML and Dataflow Templates.,,https://www.linkedin.com/in/jeffrey-kinard-92637214a/
Alberto,López Serna,Alberto López Serna,Technical Leader at Deutsche Bank,"Electronics and Telecommunications Engineer, actively immersed in Google Cloud as Tech. Lead at Deutsche Bank for current DWH and DataLake migration including GCP stack: SCIO DataFlow, DataProc, BigQuery, Composer, PubSub, BigTable, GKE, SRE and DevOps. Additionally playing roles of Solutions Architect, Big Data Engineer and team leader. 

Music lover, vinyl collector, recently learning the electric guitar. Enthuiast of coffee, tea and ""mate tea"" drinker and moderate chef at home. My next two projects: 
- learning analog photography 
- RaspberryPi project to scare magpies (they are very keen on eating my aloe vera plants and food herbs).",,https://www.linkedin.com/in/albertolose/
Robert,Burke,Robert Burke,Distributed Gopher Wrangler,"Robert is constantly working on managing his time, but really just wishes he could be in multiple places at once, since that would be simpler all around. 

When he's not programming in Go, lately, he's probably not programming at all.",http://twitter.com/lostluck,https://www.linkedin.com/in/lostluck
